iter	R2	RMSE
0	0.01027223494	0.9932156415
5	0.05869979954	0.9686117156
10	0.1032826435	0.9453952066
15	0.1436656762	0.9238623472
20	0.1812257668	0.9033743035
25	0.2153675992	0.8843390873
30	0.246975669	0.866343534
35	0.2759263041	0.8495265925
40	0.3023375284	0.8338891541
45	0.3264388409	0.8193587172
50	0.3486403292	0.8057420864
55	0.3691505723	0.7929548783
60	0.3880298094	0.7809995127
65	0.4055367297	0.7697472913
70	0.421562926	0.7593003943
75	0.4360940758	0.7497024581
80	0.4497154469	0.7405925156
85	0.4620274266	0.7322606882
90	0.4737407107	0.7242451219
95	0.4843110532	0.7169346779
100	0.4939867497	0.7101769758
105	0.5030371287	0.7037972718
110	0.511554926	0.697739781
115	0.5195699193	0.6919914815
120	0.5271109527	0.6865390534
125	0.5335633908	0.6818391405
130	0.5397698928	0.6772875805
135	0.5456958608	0.6729130747
140	0.5513498844	0.668712562
145	0.5563182478	0.6649997064
150	0.5612434089	0.6612984365
155	0.5656078276	0.6580010809
160	0.5698346819	0.6547919384
165	0.5738095649	0.6517596189
170	0.5776244024	0.648836014
175	0.5808729956	0.6463361971
180	0.5839184243	0.6439837237
185	0.5870546231	0.6415520217
190	0.5898093384	0.6394085652
195	0.5926548825	0.6371869139
200	0.5951093427	0.6352643492
205	0.5974259143	0.6334443786
210	0.59962725	0.631710245
215	0.6020168733	0.6298221966
220	0.6040564228	0.6282061772
225	0.6058818427	0.6267564071
230	0.6077602533	0.625261077
235	0.6093962496	0.6239557713
240	0.6111174213	0.6225795668
245	0.6125544178	0.6214281357
250	0.6141511583	0.6201463594
255	0.6156992112	0.6189011506
260	0.6169717347	0.6178755667
265	0.6181371322	0.6169349556
270	0.6193368662	0.6159651069
275	0.6204672775	0.6150498669
280	0.6216776089	0.6140681773
285	0.6229317875	0.6130495354
290	0.6240374266	0.6121501614
295	0.6249812954	0.6113811586
300	0.6258206436	0.6106966753
305	0.6267442345	0.6099424622
310	0.6276399408	0.6092102253
315	0.6285604208	0.6084567065
320	0.6295460101	0.6076489392
325	0.6303734865	0.6069699104
330	0.6310869323	0.6063839084
335	0.6318656567	0.6057434821
340	0.6325975789	0.6051411228
345	0.633426082	0.6044585242
350	0.6341939846	0.6038248548
355	0.6347924835	0.6033307866
360	0.6354112188	0.6028193604
365	0.6361752287	0.6021875276
370	0.6367866987	0.6016812326
375	0.6374286381	0.601149322
380	0.6379496106	0.6007173742
385	0.6385157734	0.6002473838
390	0.6391179124	0.5997472802
395	0.6397680371	0.5992068199
400	0.6403397365	0.5987311119
405	0.6409737359	0.5982031239
410	0.6415033135	0.5977618988
415	0.6419134776	0.5974198128
420	0.6424172033	0.5969994821
425	0.6430140396	0.5965010409
430	0.6435218057	0.5960766551
435	0.6439641785	0.5957067367
440	0.6442931785	0.5954313369
445	0.6447396957	0.5950575224
