iter	Passed	Remaining
0	47	94127
1	83	83085
2	123	81888
3	160	80252
4	197	78696
5	233	77571
6	265	75527
7	299	74482
8	332	73524
9	363	72305
10	397	71815
11	430	71366
12	457	70002
13	490	69619
14	522	69089
15	556	68961
16	588	68611
17	618	68132
18	652	68040
19	684	67808
20	714	67324
21	747	67198
22	778	66885
23	810	66748
24	843	66624
25	876	66527
26	906	66253
27	937	66018
28	968	65830
29	1000	65672
30	1034	65729
31	1066	65575
32	1096	65381
33	1127	65167
34	1156	64955
35	1188	64831
36	1220	64755
37	1251	64592
38	1281	64437
39	1310	64207
40	1342	64137
41	1371	63959
42	1404	63910
43	1435	63812
44	1467	63752
45	1497	63608
46	1527	63471
47	1557	63345
48	1590	63314
49	1619	63176
50	1652	63133
51	1681	62991
52	1713	62939
53	1742	62806
54	1775	62786
55	1806	62697
56	1836	62616
57	1866	62482
58	1896	62376
59	1927	62323
60	1959	62274
61	1987	62132
62	2017	62032
63	2046	61896
64	2074	61749
65	2103	61640
66	2134	61574
67	2163	61465
68	2193	61376
69	2220	61213
70	2249	61123
71	2281	61105
72	2310	60988
73	2341	60938
74	2370	60853
75	2399	60750
76	2429	60678
77	2459	60608
78	2489	60544
79	2517	60418
80	2545	60298
81	2572	60169
82	2602	60097
83	2630	59995
84	2659	59918
85	2692	59930
86	2722	59855
87	2751	59793
88	2780	59707
89	2809	59626
90	2839	59568
91	2867	59473
92	2894	59358
93	2923	59274
94	2953	59228
95	2984	59186
96	3011	59076
97	3040	59005
98	3069	58940
99	3097	58861
100	3128	58819
101	3159	58788
102	3188	58719
103	3215	58616
104	3245	58581
105	3275	58521
106	3304	58461
107	3332	58384
108	3360	58306
109	3388	58225
110	3417	58157
111	3447	58123
112	3478	58090
113	3507	58029
114	3535	57951
115	3568	57964
116	3599	57922
117	3625	57830
118	3653	57742
119	3679	57643
120	3709	57606
121	3739	57570
122	3768	57507
123	3794	57411
124	3823	57352
125	3850	57267
126	3877	57181
127	3905	57121
128	3933	57044
129	3961	56989
130	3986	56880
131	4014	56817
132	4040	56715
133	4070	56679
134	4099	56631
135	4124	56529
136	4153	56486
137	4181	56425
138	4210	56375
139	4240	56338
140	4271	56311
141	4297	56228
142	4324	56152
143	4350	56071
144	4378	56010
145	4405	55939
146	4435	55911
147	4458	55796
148	4485	55718
149	4514	55679
150	4541	55615
151	4571	55582
152	4597	55497
153	4620	55385
154	4649	55346
155	4678	55305
156	4709	55279
157	4742	55283
158	4768	55210
159	4795	55148
160	4823	55093
161	4848	55010
162	4876	54957
163	4909	54959
164	4937	54907
165	4967	54887
166	4995	54832
167	5023	54778
168	5047	54685
169	5071	54593
170	5101	54561
171	5126	54479
172	5151	54399
173	5176	54323
174	5204	54279
175	5229	54191
176	5254	54123
177	5279	54041
178	5307	53997
179	5333	53929
180	5359	53860
181	5388	53822
182	5415	53770
183	5446	53756
184	5476	53724
185	5502	53666
186	5524	53563
187	5547	53472
188	5568	53357
189	5598	53336
190	5626	53285
191	5652	53229
192	5677	53155
193	5704	53100
194	5731	53052
195	5756	52983
196	5782	52924
197	5806	52841
198	5833	52796
199	5859	52732
200	5886	52689
201	5916	52660
202	5937	52558
203	5959	52467
204	5982	52386
205	6009	52339
206	6029	52227
207	6057	52187
208	6082	52121
209	6107	52054
210	6134	52010
211	6162	51970
212	6192	51956
213	6216	51878
214	6240	51810
215	6266	51755
216	6287	51662
217	6310	51587
218	6333	51507
219	6362	51476
220	6389	51435
221	6411	51351
222	6433	51270
223	6459	51212
224	6486	51170
225	6509	51099
226	6530	51005
227	6551	50914
228	6573	50839
229	6597	50770
230	6627	50751
231	6648	50662
232	6668	50570
233	6689	50486
234	6712	50418
235	6741	50387
236	6765	50326
237	6788	50259
238	6812	50198
239	6835	50128
240	6859	50065
241	6883	50007
242	6906	49937
243	6930	49874
244	6954	49814
245	6975	49734
246	6998	49667
247	7019	49591
248	7043	49533
249	7067	49474
250	7092	49418
251	7120	49390
252	7145	49341
253	7171	49297
254	7197	49255
255	7223	49207
256	7253	49195
257	7280	49156
258	7303	49095
259	7321	48998
260	7343	48928
261	7362	48842
262	7388	48800
263	7415	48761
264	7436	48684
265	7460	48631
266	7482	48567
267	7514	48561
268	7531	48467
269	7555	48408
270	7578	48350
271	7602	48300
272	7620	48210
273	7646	48164
274	7661	48060
275	7688	48025
276	7716	47996
277	7741	47953
278	7768	47918
279	7792	47866
280	7814	47802
281	7835	47736
282	7856	47666
283	7884	47641
284	7909	47593
285	7937	47571
286	7964	47536
287	7989	47495
288	8012	47439
289	8036	47385
290	8060	47337
291	8078	47254
292	8098	47181
293	8119	47112
294	8140	47046
295	8163	46997
296	8184	46930
297	8206	46869
298	8227	46807
299	8245	46725
300	8262	46636
301	8287	46595
302	8309	46539
303	8334	46497
304	8357	46444
305	8379	46389
306	8401	46331
307	8429	46304
308	8449	46237
309	8469	46170
310	8492	46119
311	8513	46058
312	8536	46007
313	8557	45951
314	8579	45893
315	8603	45851
316	8630	45818
317	8651	45760
318	8670	45692
319	8697	45659
320	8724	45635
321	8740	45549
322	8757	45470
323	8778	45411
324	8800	45356
325	8829	45339
326	8847	45264
327	8864	45186
328	8886	45134
329	8905	45068
330	8928	45020
331	8951	44973
332	8976	44936
333	8994	44864
334	9021	44838
335	9041	44777
336	9059	44705
337	9083	44666
338	9105	44614
339	9121	44535
340	9138	44457
341	9163	44424
342	9185	44372
343	9209	44332
344	9235	44303
345	9256	44250
346	9278	44201
347	9300	44149
348	9322	44103
349	9340	44034
350	9364	43994
351	9382	43927
352	9402	43870
353	9425	43823
354	9439	43741
355	9459	43684
356	9475	43610
357	9493	43542
358	9520	43517
359	9542	43470
360	9563	43418
361	9584	43366
362	9608	43330
363	9628	43274
364	9651	43233
365	9673	43188
366	9697	43150
367	9717	43095
368	9735	43030
369	9752	42962
370	9769	42896
371	9788	42838
372	9806	42776
373	9830	42738
374	9849	42683
375	9874	42649
376	9890	42580
377	9913	42540
378	9931	42477
379	9950	42421
380	9971	42371
381	9989	42309
382	10015	42282
383	10034	42229
384	10054	42177
385	10073	42119
386	10088	42050
387	10108	41996
388	10125	41932
389	10153	41915
390	10177	41880
391	10202	41850
392	10219	41788
393	10241	41745
394	10262	41698
395	10283	41652
396	10302	41599
397	10329	41578
398	10348	41523
399	10368	41474
400	10386	41416
401	10412	41390
402	10438	41365
403	10458	41315
404	10480	41273
405	10499	41223
406	10523	41187
407	10544	41144
408	10561	41085
409	10581	41037
410	10600	40982
411	10618	40928
412	10639	40882
413	10658	40832
414	10671	40756
415	10690	40705
416	10713	40669
417	10729	40609
418	10747	40553
419	10766	40502
420	10787	40460
421	10813	40436
422	10836	40400
423	10856	40352
424	10877	40309
425	10899	40271
426	10918	40220
427	10937	40172
428	10960	40137
429	10984	40105
430	11002	40052
431	11024	40013
432	11048	39982
433	11071	39949
434	11090	39899
435	11106	39841
436	11128	39803
437	11143	39740
438	11157	39673
439	11176	39624
440	11190	39559
441	11211	39519
442	11228	39465
443	11250	39427
444	11268	39377
445	11284	39319
446	11302	39267
447	11320	39215
448	11343	39186
449	11358	39123
450	11380	39086
451	11399	39039
452	11420	39000
453	11441	38962
454	11468	38940
455	11491	38911
456	11513	38875
457	11530	38821
458	11543	38754
459	11563	38712
460	11590	38694
461	11613	38660
462	11631	38613
463	11646	38555
464	11666	38513
465	11690	38484
466	11712	38448
467	11728	38392
468	11747	38349
469	11763	38292
470	11782	38248
471	11805	38218
472	11829	38191
473	11851	38156
474	11878	38135
475	11898	38095
476	11917	38050
477	11935	38003
478	11956	37966
479	11973	37917
480	11991	37868
481	12010	37826
482	12031	37789
483	12050	37743
484	12068	37699
485	12087	37654
486	12108	37619
487	12124	37566
488	12141	37515
489	12159	37470
490	12178	37429
491	12204	37407
492	12221	37357
493	12241	37319
494	12265	37293
495	12293	37278
496	12309	37224
497	12330	37188
498	12350	37150
499	12368	37106
500	12389	37069
501	12406	37022
502	12429	36992
503	12448	36950
504	12469	36915
505	12489	36876
506	12507	36832
507	12532	36806
508	12555	36777
509	12574	36737
510	12593	36696
511	12615	36664
512	12641	36643
513	12659	36600
514	12676	36552
515	12694	36507
516	12717	36480
517	12739	36448
518	12759	36411
519	12775	36361
520	12792	36315
521	12812	36277
522	12837	36255
523	12857	36216
524	12874	36171
525	12896	36140
526	12919	36111
527	12939	36074
528	12961	36043
529	12980	36001
530	13008	35988
531	13028	35951
532	13050	35919
533	13069	35880
534	13090	35846
535	13111	35810
536	13131	35776
537	13151	35740
538	13174	35711
539	13191	35665
540	13214	35636
541	13233	35598
542	13253	35561
543	13275	35530
544	13297	35499
545	13317	35463
546	13339	35433
547	13360	35399
548	13380	35365
549	13404	35339
550	13427	35310
551	13442	35261
552	13455	35207
553	13475	35173
554	13492	35128
555	13509	35085
556	13523	35034
557	13541	34995
558	13560	34956
559	13581	34923
560	13602	34891
561	13617	34842
562	13644	34825
563	13665	34794
564	13686	34762
565	13716	34751
566	13743	34734
567	13759	34689
568	13784	34668
569	13800	34621
570	13820	34586
571	13841	34555
572	13867	34534
573	13895	34519
574	13918	34494
575	13938	34459
576	13965	34441
577	13994	34429
578	14011	34387
579	14030	34351
580	14055	34328
581	14078	34301
582	14101	34274
583	14122	34241
584	14142	34206
585	14160	34169
586	14176	34124
587	14194	34086
588	14221	34070
589	14242	34037
590	14265	34009
591	14289	33986
592	14308	33950
593	14326	33910
594	14351	33888
595	14376	33867
596	14398	33836
597	14421	33809
598	14438	33769
599	14462	33745
600	14486	33721
601	14510	33696
602	14536	33677
603	14549	33628
604	14574	33606
605	14597	33579
606	14616	33543
607	14644	33528
608	14666	33499
609	14684	33461
610	14705	33430
611	14727	33401
612	14744	33362
613	14769	33339
614	14785	33296
615	14807	33268
616	14820	33219
617	14846	33201
618	14867	33168
619	14894	33152
620	14919	33129
621	14937	33092
622	14953	33051
623	14969	33009
624	14981	32960
625	15000	32925
626	15021	32894
627	15041	32861
628	15061	32827
629	15081	32796
630	15099	32758
631	15118	32724
632	15138	32691
633	15155	32654
634	15175	32622
635	15200	32599
636	15216	32559
637	15238	32531
638	15257	32496
639	15281	32473
640	15304	32447
641	15328	32424
642	15350	32395
643	15372	32369
644	15395	32343
645	15419	32318
646	15438	32284
647	15457	32250
648	15483	32230
649	15510	32214
650	15528	32178
651	15548	32145
652	15570	32119
653	15586	32079
654	15603	32040
655	15619	32001
656	15636	31962
657	15662	31943
658	15680	31907
659	15711	31898
660	15736	31876
661	15763	31859
662	15782	31827
663	15802	31795
664	15827	31774
665	15853	31754
666	15872	31720
667	15889	31683
668	15903	31640
669	15920	31604
670	15940	31572
671	15960	31540
672	15978	31506
673	16005	31487
674	16033	31473
675	16055	31446
676	16074	31413
677	16094	31381
678	16117	31357
679	16146	31342
680	16164	31307
681	16181	31272
682	16209	31256
683	16234	31233
684	16251	31198
685	16275	31174
686	16292	31137
687	16316	31115
688	16339	31090
689	16360	31061
690	16382	31034
691	16400	31000
692	16419	30967
693	16432	30923
694	16450	30889
695	16474	30865
696	16495	30837
697	16513	30802
698	16532	30770
699	16555	30746
700	16576	30716
701	16595	30685
702	16614	30652
703	16636	30625
704	16655	30593
705	16673	30561
706	16695	30532
707	16711	30496
708	16729	30462
709	16752	30437
710	16769	30401
711	16787	30368
712	16804	30332
713	16827	30308
714	16844	30272
715	16869	30251
716	16892	30226
717	16913	30199
718	16930	30164
719	16954	30141
720	16977	30117
721	16995	30084
722	17014	30052
723	17032	30018
724	17052	29988
725	17072	29958
726	17088	29921
727	17107	29891
728	17126	29859
729	17150	29837
730	17169	29805
731	17190	29778
732	17206	29741
733	17226	29712
734	17242	29676
735	17264	29649
736	17283	29618
737	17310	29601
738	17335	29580
739	17349	29540
740	17373	29518
741	17398	29498
742	17417	29466
743	17436	29436
744	17459	29412
745	17479	29382
746	17500	29354
747	17523	29330
748	17548	29309
749	17570	29284
750	17591	29256
751	17619	29240
752	17640	29213
753	17660	29184
754	17677	29149
755	17701	29127
756	17718	29094
757	17739	29066
758	17755	29030
759	17773	28999
760	17801	28982
761	17818	28949
762	17843	28928
763	17866	28905
764	17891	28883
765	17912	28855
766	17934	28831
767	17953	28801
768	17980	28782
769	18007	28765
770	18025	28733
771	18041	28698
772	18060	28667
773	18080	28638
774	18108	28623
775	18125	28590
776	18144	28559
777	18160	28524
778	18175	28487
779	18194	28457
780	18214	28429
781	18241	28411
782	18262	28384
783	18285	28361
784	18304	28331
785	18327	28307
786	18346	28277
787	18365	28247
788	18386	28220
789	18398	28179
790	18418	28152
791	18445	28133
792	18464	28104
793	18484	28076
794	18509	28055
795	18526	28022
796	18549	27998
797	18571	27973
798	18588	27941
799	18604	27907
800	18626	27881
801	18641	27846
802	18662	27819
803	18682	27791
804	18701	27762
805	18719	27731
806	18734	27695
807	18754	27667
808	18774	27639
809	18791	27607
810	18816	27587
811	18839	27563
812	18861	27537
813	18885	27516
814	18912	27498
815	18939	27481
816	18959	27453
817	18983	27431
818	19009	27412
819	19029	27384
820	19054	27363
821	19074	27335
822	19093	27306
823	19108	27270
824	19126	27240
825	19148	27216
826	19171	27192
827	19191	27164
828	19208	27132
829	19229	27106
830	19252	27083
831	19278	27064
832	19306	27047
833	19328	27023
834	19352	27000
835	19376	26978
836	19397	26952
837	19415	26921
838	19437	26896
839	19455	26866
840	19475	26840
841	19497	26814
842	19518	26788
843	19536	26757
844	19556	26731
845	19583	26713
846	19607	26691
847	19630	26668
848	19658	26651
849	19674	26618
850	19694	26590
851	19718	26569
852	19743	26547
853	19766	26525
854	19789	26501
855	19804	26468
856	19829	26446
857	19849	26419
858	19867	26389
859	19886	26360
860	19907	26335
861	19926	26306
862	19940	26270
863	19958	26241
864	19979	26216
865	20003	26193
866	20022	26165
867	20046	26142
868	20069	26120
869	20084	26087
870	20107	26063
871	20128	26038
872	20143	26004
873	20166	25981
874	20189	25957
875	20208	25929
876	20230	25904
877	20253	25882
878	20272	25853
879	20285	25817
880	20304	25789
881	20320	25757
882	20345	25736
883	20369	25715
884	20390	25689
885	20409	25661
886	20429	25634
887	20453	25613
888	20476	25589
889	20489	25554
890	20512	25531
891	20531	25503
892	20557	25483
893	20575	25454
894	20593	25425
895	20618	25404
896	20642	25383
897	20663	25357
898	20682	25330
899	20704	25305
900	20724	25278
901	20744	25251
902	20768	25230
903	20790	25206
904	20810	25179
905	20830	25152
906	20849	25125
907	20870	25099
908	20889	25071
909	20912	25049
910	20932	25022
911	20951	24995
912	20971	24967
913	20986	24935
914	21006	24909
915	21025	24881
916	21044	24854
917	21066	24830
918	21089	24807
919	21109	24780
920	21135	24761
921	21154	24734
922	21171	24703
923	21195	24682
924	21216	24657
925	21241	24635
926	21266	24615
927	21290	24594
928	21312	24570
929	21334	24546
930	21350	24514
931	21369	24487
932	21390	24462
933	21409	24434
934	21428	24408
935	21450	24384
936	21468	24355
937	21484	24324
938	21508	24302
939	21531	24280
940	21557	24260
941	21584	24242
942	21604	24216
943	21621	24186
944	21637	24156
945	21656	24128
946	21676	24102
947	21698	24078
948	21720	24054
949	21739	24027
950	21762	24005
951	21782	23978
952	21802	23953
953	21819	23923
954	21844	23902
955	21870	23883
956	21892	23859
957	21910	23831
958	21932	23807
959	21951	23780
960	21972	23755
961	21990	23727
962	22011	23703
963	22029	23674
964	22050	23650
965	22073	23626
966	22086	23593
967	22112	23574
968	22132	23548
969	22154	23524
970	22174	23499
971	22192	23471
972	22213	23446
973	22236	23423
974	22262	23403
975	22280	23376
976	22302	23352
977	22324	23328
978	22342	23300
979	22357	23270
980	22382	23249
981	22394	23215
982	22413	23188
983	22437	23167
984	22464	23148
985	22488	23127
986	22503	23096
987	22524	23071
988	22544	23046
989	22567	23023
990	22588	22999
991	22607	22972
992	22629	22948
993	22655	22929
994	22675	22903
995	22690	22873
996	22715	22852
997	22731	22822
998	22745	22791
999	22772	22772
1000	22800	22755
1001	22818	22727
1002	22836	22699
1003	22856	22674
1004	22876	22649
1005	22894	22621
